Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_contentsafetyimageanalyzerequestcount_average;azure_contentsafetyimageanalyzerequestcount_count;azure_contentsafetyimageanalyzerequestcount_maximum;azure_contentsafetyimageanalyzerequestcount_minimum;azure_contentsafetyimageanalyzerequestcount_total,Number of calls for image moderation.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiversion,total
azure_contentsafetytextanalyzerequestcount_average;azure_contentsafetytextanalyzerequestcount_count;azure_contentsafetytextanalyzerequestcount_maximum;azure_contentsafetytextanalyzerequestcount_minimum;azure_contentsafetytextanalyzerequestcount_total,Number of calls for text moderation.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiversion,total
azure_actionfeatureidoccurrences_average;azure_actionfeatureidoccurrences_count;azure_actionfeatureidoccurrences_maximum;azure_actionfeatureidoccurrences_minimum;azure_actionfeatureidoccurrences_total,Number of times each action feature appears.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_featureid;metadata_mode;metadata_runid,total
azure_actionfeaturesperevent_average;azure_actionfeaturesperevent_count;azure_actionfeaturesperevent_maximum;azure_actionfeaturesperevent_minimum;azure_actionfeaturesperevent_total,Average number of action features per event.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_mode;metadata_runid,average
azure_actionidoccurrences_average;azure_actionidoccurrences_count;azure_actionidoccurrences_maximum;azure_actionidoccurrences_minimum;azure_actionidoccurrences_total,Number of times each action appears.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_actionid;metadata_mode;metadata_runid,total
azure_actionnamespacesperevent_average;azure_actionnamespacesperevent_count;azure_actionnamespacesperevent_maximum;azure_actionnamespacesperevent_minimum;azure_actionnamespacesperevent_total,Average number of action namespaces per event.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_mode;metadata_runid,average
azure_actionsperevent_average;azure_actionsperevent_count;azure_actionsperevent_maximum;azure_actionsperevent_minimum;azure_actionsperevent_total,Number of actions per event.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_mode;metadata_runid,average
azure_audiosecondstranscribed_average;azure_audiosecondstranscribed_count;azure_audiosecondstranscribed_maximum;azure_audiosecondstranscribed_minimum;azure_audiosecondstranscribed_total,Number of seconds transcribed,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_featurename;metadata_usagechannel;metadata_region,total
azure_audiosecondstranslated_average;azure_audiosecondstranslated_count;azure_audiosecondstranslated_maximum;azure_audiosecondstranslated_minimum;azure_audiosecondstranslated_total,Number of seconds translated,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_featurename;metadata_usagechannel;metadata_region,total
azure_baselineestimatoroverallreward_average;azure_baselineestimatoroverallreward_count;azure_baselineestimatoroverallreward_maximum;azure_baselineestimatoroverallreward_minimum;azure_baselineestimatoroverallreward_total,Baseline Estimator Overall Reward.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_mode;metadata_runid,average
azure_baselineestimatorslotreward_average;azure_baselineestimatorslotreward_count;azure_baselineestimatorslotreward_maximum;azure_baselineestimatorslotreward_minimum;azure_baselineestimatorslotreward_total,Baseline Estimator Reward by slot.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_slotid;metadata_slotindex;metadata_mode;metadata_runid,average
azure_baselinerandomestimatoroverallreward_average;azure_baselinerandomestimatoroverallreward_count;azure_baselinerandomestimatoroverallreward_maximum;azure_baselinerandomestimatoroverallreward_minimum;azure_baselinerandomestimatoroverallreward_total,Baseline Random Estimator Overall Reward.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_mode;metadata_runid,average
azure_baselinerandomestimatorslotreward_average;azure_baselinerandomestimatorslotreward_count;azure_baselinerandomestimatorslotreward_maximum;azure_baselinerandomestimatorslotreward_minimum;azure_baselinerandomestimatorslotreward_total,Baseline Random Estimator Reward by slot.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_slotid;metadata_slotindex;metadata_mode;metadata_runid,average
azure_baselinerandomeventcount_average;azure_baselinerandomeventcount_count;azure_baselinerandomeventcount_maximum;azure_baselinerandomeventcount_minimum;azure_baselinerandomeventcount_total,Estimation for baseline random event count.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_mode;metadata_runid,total
azure_baselinerandomreward_average;azure_baselinerandomreward_count;azure_baselinerandomreward_maximum;azure_baselinerandomreward_minimum;azure_baselinerandomreward_total,Estimation for baseline random reward.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_mode;metadata_runid,total
azure_blockedcalls_average;azure_blockedcalls_count;azure_blockedcalls_maximum;azure_blockedcalls_minimum;azure_blockedcalls_total,Number of calls that exceeded rate or quota limit.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_operationname;metadata_region;metadata_ratelimitkey,total
azure_carnegieinferencecount_average;azure_carnegieinferencecount_count;azure_carnegieinferencecount_maximum;azure_carnegieinferencecount_minimum;azure_carnegieinferencecount_total,Inference Count of Carnegie Frontdoor Service,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_region;metadata_modality;metadata_category;metadata_language;metadata_severitylevel;metadata_usecustomlist,total
azure_characterstranslated_average;azure_characterstranslated_count;azure_characterstranslated_maximum;azure_characterstranslated_minimum;azure_characterstranslated_total,Total number of characters in incoming text request.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_operationname;metadata_region,total
azure_contextfeatureidoccurrences_average;azure_contextfeatureidoccurrences_count;azure_contextfeatureidoccurrences_maximum;azure_contextfeatureidoccurrences_minimum;azure_contextfeatureidoccurrences_total,Number of times each context feature appears.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_featureid;metadata_mode;metadata_runid,total
azure_contextfeaturesperevent_average;azure_contextfeaturesperevent_count;azure_contextfeaturesperevent_maximum;azure_contextfeaturesperevent_minimum;azure_contextfeaturesperevent_total,Number of context features per event.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_mode;metadata_runid,average
azure_contextnamespacesperevent_average;azure_contextnamespacesperevent_count;azure_contextnamespacesperevent_maximum;azure_contextnamespacesperevent_minimum;azure_contextnamespacesperevent_total,Number of context namespaces per event.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_mode;metadata_runid,average
azure_customvisiontrainingtime_average;azure_customvisiontrainingtime_count;azure_customvisiontrainingtime_maximum;azure_customvisiontrainingtime_minimum;azure_customvisiontrainingtime_total,Custom Vision training time,Seconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_featurename;metadata_usagechannel;metadata_region,total
azure_customvisiontransactions_average;azure_customvisiontransactions_count;azure_customvisiontransactions_maximum;azure_customvisiontransactions_minimum;azure_customvisiontransactions_total,Number of Custom Vision prediction transactions,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_featurename;metadata_usagechannel;metadata_region,total
azure_documentcharacterstranslated_average;azure_documentcharacterstranslated_count;azure_documentcharacterstranslated_maximum;azure_documentcharacterstranslated_minimum;azure_documentcharacterstranslated_total,Number of characters in document translation request.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_featurename;metadata_usagechannel;metadata_region,total
azure_documentcustomcharacterstranslated_average;azure_documentcustomcharacterstranslated_count;azure_documentcustomcharacterstranslated_maximum;azure_documentcustomcharacterstranslated_minimum;azure_documentcustomcharacterstranslated_total,Number of characters in custom document translation request.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_featurename;metadata_usagechannel;metadata_region,total
azure_facesstored_average;azure_facesstored_count;azure_facesstored_maximum;azure_facesstored_minimum;azure_facesstored_total,"Number of faces stored, prorated daily. The number of faces stored is reported daily.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_featurename;metadata_usagechannel;metadata_region,total
azure_facetransactions_average;azure_facetransactions_count;azure_facetransactions_maximum;azure_facetransactions_minimum;azure_facetransactions_total,Number of API calls made to Face service,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_featurename;metadata_usagechannel;metadata_region,total
azure_featurecardinality_action_average;azure_featurecardinality_action_count;azure_featurecardinality_action_maximum;azure_featurecardinality_action_minimum;azure_featurecardinality_action_total,Feature Cardinality based on Action.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_featureid;metadata_mode;metadata_runid,average
